,episode,actions,rewards
853,853,2,-1100.0
854,854,1,-1000.0
855,855,7,-1204.0
856,856,5,-1103.0
857,857,4,-1003.0
858,858,1,-1000.0
859,859,2,-1001.0
860,860,3,-1002.0
861,861,6,-1104.0
862,862,1,-1000.0
863,863,1,-1000.0
864,864,1,-1000.0
865,865,1,-1000.0
866,866,4,-1102.0
867,867,2,-1001.0
868,868,6,-1005.0
869,869,3,-1200.0
870,870,3,-1101.0
871,871,2,-1001.0
872,872,2,-1001.0
873,873,4,-1003.0
874,874,9,-1107.0
875,875,1,-1000.0
876,876,3,-1101.0
877,877,2,-1100.0
878,878,1,-1000.0
879,879,3,-1002.0
880,880,6,-1203.0
881,881,9,-1206.0
882,882,18,-1215.0
883,883,2,-1100.0
884,884,4,-1003.0
885,885,1,-1000.0
886,886,2,-1100.0
887,887,1,-1000.0
888,888,2,-1001.0
889,889,3,-1002.0
890,890,3,-1101.0
891,891,2,-1100.0
892,892,13,-1507.0
893,893,1,-1000.0
894,894,7,-1204.0
895,895,10,-1108.0
896,896,1,-1000.0
897,897,3,-1101.0
898,898,1,-1000.0
899,899,5,-1202.0
900,900,2,-1001.0
901,901,1,-1000.0
902,902,1,-1000.0
903,903,12,-1308.0
904,904,1,-1000.0
905,905,2,-1001.0
906,906,1,-1000.0
907,907,1,-1000.0
908,908,4,-1003.0
909,909,3,-1200.0
910,910,2,-1001.0
911,911,1,-1000.0
912,912,2,-1001.0
913,913,1,-1000.0
914,914,1,-1000.0
915,915,4,-1102.0
916,916,1,-1000.0
917,917,5,-1004.0
918,918,2,-1001.0
919,919,1,-1000.0
920,920,2,-1100.0
921,921,1,-1000.0
922,922,2,-1100.0
923,923,5,-1301.0
924,924,1,-1000.0
925,925,1,-1000.0
926,926,5,-1004.0
927,927,3,-1002.0
928,928,3,-1101.0
929,929,3,-1002.0
930,930,2,-1100.0
931,931,1,-1000.0
932,932,1,-1000.0
933,933,2,-1001.0
934,934,1,-1000.0
935,935,2,-1100.0
936,936,1,-1000.0
937,937,1,-1000.0
938,938,1,-1000.0
939,939,4,-1003.0
940,940,20,-1118.0
941,941,2,-1001.0
942,942,1,-1000.0
943,943,9,-1107.0
944,944,1,-1000.0
945,945,75,-2361.0
946,946,1,-1000.0
947,947,1,-1000.0
948,948,1,-1000.0
949,949,6,-1005.0
950,950,2,-1100.0
951,951,1,-1000.0
952,952,5,-1103.0
953,953,13,-1210.0
954,954,7,-1204.0
955,955,1,-1000.0
956,956,1,-1000.0
957,957,4,-1102.0
958,958,4,-1003.0
959,959,8,-1106.0
960,960,6,-1005.0
961,961,2,-1001.0
962,962,24,-1122.0
963,963,1,-1000.0
964,964,1,-1000.0
965,965,8,-1205.0
966,966,2,-1001.0
967,967,1,-1000.0
968,968,4,-1003.0
969,969,6,-1104.0
970,970,7,-1105.0
971,971,2,-1001.0
972,972,4,-1201.0
973,973,2,-1001.0
974,974,1,-1000.0
975,975,1,-1000.0
976,976,8,-1106.0
977,977,1,-1000.0
978,978,6,-1005.0
979,979,18,-1512.0
980,980,9,-1008.0
981,981,1,-1000.0
982,982,1,-1000.0
983,983,5,-1103.0
984,984,2,-1001.0
985,985,8,-1106.0
986,986,4,-1102.0
987,987,27,-1422.0
988,988,7,-1105.0
989,989,1,-1000.0
990,990,6,-1104.0
991,991,2,-1001.0
992,992,1,-1000.0
993,993,1,-1000.0
994,994,2,-1001.0
995,995,1,-1000.0
996,996,3,-1002.0
997,997,1,-1000.0
998,998,5,-1004.0
999,999,1,-1000.0
1000,1000,10,-1405.0
1001,1001,1,-1000.0
1002,1002,1,-1000.0
1003,1003,6,-1104.0
1004,1004,3,-1002.0
1005,1005,7,-1006.0
1006,1006,2,-1100.0
1007,1007,2,-1100.0
1008,1008,1,-1000.0
1009,1009,1,-1000.0
1010,1010,2,-1001.0
1011,1011,1,-1000.0
1012,1012,2,-1100.0
1013,1013,2,-1100.0
1014,1014,1,-1000.0
1015,1015,1,-1000.0
1016,1016,1,-1000.0
1017,1017,3,-1002.0
1018,1018,2,-1001.0
1019,1019,1,-1000.0
1020,1020,11,-1109.0
1021,1021,6,-1401.0
1022,1022,8,-1205.0
1023,1023,12,-1011.0
1024,1024,1,-1000.0
1025,1025,2,-1001.0
1026,1026,1,-1000.0
1027,1027,1,-1000.0
1028,1028,10,-1405.0
1029,1029,2,-1001.0
1030,1030,2,-1100.0
1031,1031,3,-1101.0
1032,1032,13,-1408.0
1033,1033,3,-1002.0
1034,1034,1,-1000.0
1035,1035,2,-1100.0
1036,1036,81,-2961.0
1037,1037,2,-1100.0
1038,1038,1,-1000.0
1039,1039,15,-1311.0
1040,1040,2,-1001.0
1041,1041,1,-1000.0
1042,1042,2,-1001.0
1043,1043,3,-1002.0
1044,1044,4,-1003.0
1045,1045,1,-1000.0
1046,1046,2,-1001.0
1047,1047,1,-1000.0
1048,1048,1,-1000.0
1049,1049,1,-1000.0
1050,1050,2,-1001.0
1051,1051,1,-1000.0
1052,1052,1,-1000.0
1053,1053,2,-1001.0
1054,1054,3,-1101.0
1055,1055,1,-1000.0
1056,1056,56,-1847.0
1057,1057,2,-1001.0
1058,1058,3,-1002.0
1059,1059,1,-1000.0
1060,1060,10,-1306.0
1061,1061,1,-1000.0
1062,1062,13,-1012.0
1063,1063,1,-1000.0
1064,1064,2,-1001.0
1065,1065,1,-1000.0
1066,1066,3,-1002.0
1067,1067,10,-1108.0
1068,1068,1,-1000.0
1069,1069,47,-1640.0
1070,1070,2,-1001.0
1071,1071,1,-1000.0
1072,1072,5,-1103.0
1073,1073,35,-1430.0
1074,1074,4,-1102.0
1075,1075,2,-1100.0
1076,1076,10,-1405.0
1077,1077,10,-1009.0
1078,1078,3,-1101.0
1079,1079,2,-1100.0
1080,1080,2,-1001.0
1081,1081,1,-1000.0
1082,1082,2,-1100.0
1083,1083,1,-1000.0
1084,1084,1,-1000.0
1085,1085,1,-1000.0
1086,1086,48,-1839.0
1087,1087,3,-1101.0
1088,1088,1,-1000.0
1089,1089,2,-1001.0
1090,1090,2,-1001.0
1091,1091,1,-1000.0
1092,1092,66,-2253.0
1093,1093,89,-2375.0
1094,1094,3,-1002.0
1095,1095,1,-1000.0
1096,1096,1,-1000.0
1097,1097,1,-1000.0
1098,1098,2,-1001.0
1099,1099,7,-1105.0
1100,1100,1,-1000.0
1101,1101,1,-1000.0
1102,1102,4,-1102.0
1103,1103,5,-1103.0
1104,1104,1,-1000.0
1105,1105,6,-1005.0
1106,1106,2,-1001.0
1107,1107,6,-1104.0
1108,1108,3,-1002.0
1109,1109,26,-1421.0
1110,1110,1,-1000.0
1111,1111,11,-1307.0
1112,1112,1,-1000.0
1113,1113,1,-1000.0
1114,1114,1,-1000.0
1115,1115,5,-1103.0
1116,1116,1,-1000.0
1117,1117,2,-1100.0
1118,1118,5,-1103.0
1119,1119,4,-1003.0
1120,1120,4,-1102.0
1121,1121,2,-1100.0
1122,1122,2,-1001.0
1123,1123,3,-1002.0
1124,1124,2,-1001.0
1125,1125,4,-1102.0
1126,1126,1,-1000.0
1127,1127,1,-1000.0
1128,1128,1,-1000.0
1129,1129,1,-1000.0
1130,1130,7,-1204.0
1131,1131,39,-1632.0
1132,1132,2,-1001.0
1133,1133,1,-1000.0
1134,1134,13,-1012.0
1135,1135,2,-1001.0
1136,1136,1,-1000.0
1137,1137,8,-1106.0
1138,1138,4,-1003.0
